"","Stock","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","^BVSP","2016-07-04",52241,52918,52241,52569,0,52569
"2","^BVSP","2016-07-01",51540,52346,51411,52233,4116100,52233
"3","^BVSP","2016-06-30",51001,51619,50585,51527,4377800,51527
"4","^BVSP","2016-06-29",50009,51229,50009,51002,3970100,51002
"5","^BVSP","2016-06-28",49252,50301,49252,50007,3406400,50007
"6","^BVSP","2016-06-27",50106,50162,48954,49246,3228500,49246
"7","^BVSP","2016-06-24",51561,51561,49544,50105,4139100,50105
"8","^BVSP","2016-06-23",50161,51673,50161,51560,3166800,51560
"9","^BVSP","2016-06-22",50835,51239,50060,50156,3632900,50156
"10","^BVSP","2016-06-21",50326,50870,49678,50838,3349200,50838
"11","^BVSP","2016-06-20",49539,50782,49539,50329,3487000,50329
"12","^BVSP","2016-06-17",49409,50191,49405,49534,4248900,49534
"13","^BVSP","2016-06-16",48901,49412,48067,49412,3887200,49412
"14","^BVSP","2016-06-15",48649,49415,48324,48915,5009800,48915
"15","^BVSP","2016-06-14",49662,49894,48216,48648,3885000,48648
"16","^BVSP","2016-06-13",49419,49764,48804,49661,2630500,49661
"17","^BVSP","2016-06-10",51117,51117,49421,49422,2977400,49422
"18","^BVSP","2016-06-09",51633,51633,50832,51118,3213200,51118
"19","^BVSP","2016-06-08",50490,51812,50490,51629,4206400,51629
"20","^BVSP","2016-06-07",50432,50641,50005,50488,2958800,50488
"21","^BVSP","2016-06-06",50627,50924,50097,50432,0,50432
"22","^BVSP","2016-06-03",49888,50634,49888,50619,3329400,50619
"23","^BVSP","2016-06-02",49008,49906,48781,49887,3525800,49887
"24","^BVSP","2016-06-01",48468,49057,48200,49013,3290000,49013
"25","^BVSP","2016-05-31",48963,49269,48292,48472,0,48472
"26","^BVSP","2016-05-30",49051,49203,48799,48964,1169200,48964
"27","^BVSP","2016-05-27",49481,49805,48869,49051,2711800,49051
"28","^BVSP","2016-05-25",49347,50357,49347,49483,3472600,49483
"29","^BVSP","2016-05-24",49330,50002,49153,49345,3138900,49345
"30","^BVSP","2016-05-23",49709,49709,48695,49330,3412800,49330
"31","^BVSP","2016-05-20",50133,50822,49723,49723,3254500,49723
"32","^BVSP","2016-05-19",50556,50556,49588,50133,3905500,50133
"33","^BVSP","2016-05-18",50836,51373,50301,50562,4072500,50562
"34","^BVSP","2016-05-17",51795,51946,50689,50839,3871100,50839
"35","^BVSP","2016-05-16",51803,52305,51585,51803,3529500,51803
"36","^BVSP","2016-05-13",53236,53250,51366,51804,4314300,51804
"37","^BVSP","2016-05-12",52765,53798,52424,53241,4630400,53241
"38","^BVSP","2016-05-11",53072,53976,52736,52764,4350000,52764
"39","^BVSP","2016-05-10",50994,53071,50994,53071,4079200,53071
"40","^BVSP","2016-05-09",51717,51717,49908,50990,4938400,50990
"41","^BVSP","2016-05-06",51671,52159,51204,51718,3296100,51718
"42","^BVSP","2016-05-05",52569,53071,51311,51671,0,51671
"43","^BVSP","2016-05-04",52253,52672,51931,52553,4263800,52553
"44","^BVSP","2016-05-03",53557,53557,52260,52260,3892400,52260
"45","^BVSP","2016-05-02",53910,54113,53265,53562,3286100,53562
"46","^BVSP","2016-04-29",54317,54705,53592,53911,4898400,53911
"47","^BVSP","2016-04-28",54475,54978,53963,54312,4413500,54312
"48","^BVSP","2016-04-27",53094,54560,53094,54478,4897900,54478
"49","^BVSP","2016-04-26",51867,53108,51838,53083,3749400,53083
"50","^BVSP","2016-04-25",52911,52949,51748,51862,3693200,51862
"51","^BVSP","2016-04-22",53630,53630,52629,52908,4259400,52908
"52","^BVSP","2016-04-20",53711,53857,53149,53631,4554100,53631
"53","^BVSP","2016-04-19",52894,54054,52894,53710,5033900,53710
"54","^BVSP","2016-04-18",53229,53479,52305,52894,4385600,52894
"55","^BVSP","2016-04-15",52414,53390,52414,53228,5047800,53228
"56","^BVSP","2016-04-14",53150,53699,52242,52411,5492100,52411
"57","^BVSP","2016-04-13",52010,53844,52010,53150,6376500,53150
"58","^BVSP","2016-04-12",50166,52327,50166,52002,5146900,52002
"59","^BVSP","2016-04-11",50303,51089,50078,50165,4050700,50165
"60","^BVSP","2016-04-08",48517,50486,48517,50293,5047700,50293
"61","^BVSP","2016-04-07",48099,48940,48099,48513,3059900,48513
"62","^BVSP","2016-04-06",49054,49054,47874,48096,3810000,48096
"63","^BVSP","2016-04-05",48778,49629,48149,49054,3546100,49054
"64","^BVSP","2016-04-04",50556,50556,48600,48780,3556500,48780
"65","^BVSP","2016-04-01",50054,50768,49361,50562,3890600,50562
"66","^DJI","2016-07-01",17924.240234,18002.380859,17916.910156,17949.369141,82160000,17949.369141
"67","^DJI","2016-06-30",17712.759766,17930.609375,17711.800781,17929.990234,133030000,17929.990234
"68","^DJI","2016-06-29",17456.019531,17704.509766,17456.019531,17694.679688,106380000,17694.679688
"69","^DJI","2016-06-28",17190.509766,17409.720703,17190.509766,17409.720703,112190000,17409.720703
"70","^DJI","2016-06-27",17355.210938,17355.210938,17063.080078,17140.240234,138740000,17140.240234
"71","^DJI","2016-06-24",17946.630859,17946.630859,17356.339844,17400.75,2.39e+08,17400.75
"72","^DJI","2016-06-23",17844.109375,18011.070312,17844.109375,18011.070312,98070000,18011.070312
"73","^DJI","2016-06-22",17832.669922,17920.160156,17770.359375,17780.830078,89440000,17780.830078
"74","^DJI","2016-06-21",17827.330078,17877.839844,17799.800781,17829.730469,85130000,17829.730469
"75","^DJI","2016-06-20",17736.869141,17946.359375,17736.869141,17804.869141,99380000,17804.869141
"76","^DJI","2016-06-17",17733.439453,17733.439453,17602.779297,17675.160156,248680000,17675.160156
"77","^DJI","2016-06-16",17602.230469,17754.910156,17471.289062,17733.099609,91950000,17733.099609
"78","^DJI","2016-06-15",17703.650391,17762.960938,17629.009766,17640.169922,94130000,17640.169922
"79","^DJI","2016-06-14",17710.769531,17733.919922,17595.789062,17674.820312,93740000,17674.820312
"80","^DJI","2016-06-13",17830.5,17893.279297,17731.349609,17732.480469,101690000,17732.480469
"81","^DJI","2016-06-10",17938.820312,17938.820312,17812.339844,17865.339844,90540000,17865.339844
"82","^DJI","2016-06-09",17969.980469,18005.220703,17915.880859,17985.189453,69690000,17985.189453
"83","^DJI","2016-06-08",17931.910156,18016,17931.910156,18005.050781,71260000,18005.050781
"84","^DJI","2016-06-07",17936.220703,18003.230469,17936.220703,17938.279297,78750000,17938.279297
"85","^DJI","2016-06-06",17825.689453,17949.679688,17822.810547,17920.330078,71870000,17920.330078
"86","^DJI","2016-06-03",17799.800781,17833.169922,17689.679688,17807.060547,82270000,17807.060547
"87","^DJI","2016-06-02",17789.050781,17838.560547,17703.550781,17838.560547,75560000,17838.560547
"88","^DJI","2016-06-01",17754.550781,17809.179688,17664.789062,17789.669922,78530000,17789.669922
"89","^DJI","2016-05-31",17891.5,17899.240234,17724.029297,17787.199219,147390000,17787.199219
"90","^DJI","2016-05-27",17826.849609,17873.220703,17824.730469,17873.220703,73190000,17873.220703
"91","^DJI","2016-05-26",17859.519531,17888.660156,17803.820312,17828.289062,68940000,17828.289062
"92","^DJI","2016-05-25",17735.089844,17891.710938,17735.089844,17851.509766,79180000,17851.509766
"93","^DJI","2016-05-24",17525.189453,17742.589844,17525.189453,17706.050781,86480000,17706.050781
"94","^DJI","2016-05-23",17507.039062,17550.699219,17480.050781,17492.929688,87790000,17492.929688
"95","^DJI","2016-05-20",17437.320312,17571.75,17437.320312,17500.939453,111990000,17500.939453
"96","^DJI","2016-05-19",17514.160156,17514.160156,17331.070312,17435.400391,95530000,17435.400391
"97","^DJI","2016-05-18",17501.279297,17636.220703,17418.210938,17526.619141,79120000,17526.619141
"98","^DJI","2016-05-17",17701.460938,17701.460938,17469.919922,17529.980469,103260000,17529.980469
"99","^DJI","2016-05-16",17531.759766,17755.800781,17531.759766,17710.710938,88440000,17710.710938
"100","^DJI","2016-05-13",17711.119141,17734.740234,17512.480469,17535.320312,86640000,17535.320312
"101","^DJI","2016-05-12",17711.119141,17798.189453,17625.380859,17720.5,88560000,17720.5
"102","^DJI","2016-05-11",17919.029297,17919.029297,17711.050781,17711.119141,87390000,17711.119141
"103","^DJI","2016-05-10",17726.660156,17934.609375,17726.660156,17928.349609,75790000,17928.349609
"104","^DJI","2016-05-09",17743.849609,17783.160156,17668.380859,17705.910156,85590000,17705.910156
